[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 16,00 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 102,22 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 22,22 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 13,33 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 7,70 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 2,67 2 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 1.116,67 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 277,61 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 130,71 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 128,50 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 2.162,96 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 462,69 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 185,07 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 64,81 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 469,47 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 69,07 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 67,59 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 157,39 2 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 116,67 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 258,33 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 116,67 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 86,11 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 54,54 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 1.296,30 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 1.035,90 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 2.275,39 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 1.541,17 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 192,27 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 250,81 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 320,29 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 152,39 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 2.518,06 script.js:1475:21
[9:38:10 PM] C197 Débito (GO4 Não Incentivado): GO40000029 = R$ 2.880,24 script.js:1475:21
✅ [9:38:10 PM] Resumo: 500 saídas incentivadas, 24 saídas não incentivadas script.js:1473:21
✅ [9:38:10 PM] Créditos de entradas: R$ 629.593,00, Outros créditos: R$ 146.715,50 script.js:1473:21
✅ [9:38:10 PM] Débitos de operações: R$ 2.647.589,95, Outros débitos (E111+C197+D197): R$ 60.774,48 script.js:1473:21
[9:38:10 PM] Total de exclusões aplicadas: 4 script.js:1475:21
[9:38:10 PM] Outros Débitos TOTAL: R$ 60.774,48 script.js:1475:21
[9:38:10 PM]   - Incentivados: R$ 0,00 (0.0%) script.js:1475:21
[9:38:10 PM]   - Não Incentivados: R$ 60.774,48 script.js:1475:21
✅ [9:38:10 PM]   - Soma: R$ 60.774,48 - OK script.js:1473:21
[9:38:10 PM] Outros Créditos TOTAL: R$ 146.715,50 script.js:1475:21
[9:38:10 PM]   - Incentivados: R$ 76.545,32 (52.2%) script.js:1475:21
[9:38:10 PM]   - Não Incentivados: R$ 70.170,18 script.js:1475:21
[9:38:10 PM] Créditos Entradas TOTAL: R$ 629.593,00 script.js:1475:21
[9:38:10 PM]   - Incentivados: R$ 628.937,06 (99.9%) script.js:1475:21
[9:38:10 PM]   - Não Incentivados: R$ 655,94 script.js:1475:21
[9:38:10 PM] OUTROS CRÉDITOS (3 registros): script.js:1475:21
[9:38:10 PM]   E111 - Ajustes da Apuração do ICMS | GO020008: R$ 1.327,23 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   E111 - Ajustes da Apuração do ICMS | GO020079: R$ 76.545,32 (Incentivado) script.js:1475:21
[9:38:10 PM]   E111 - Ajustes da Apuração do ICMS | GO020138: R$ 68.842,95 (Não Incentivado) script.js:1475:21
[9:38:10 PM] OUTROS DÉBITOS (111 registros): script.js:1475:21
[9:38:10 PM]   E111 - Ajustes da Apuração do ICMS | GO010041: R$ 297,70 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   E111 - Ajustes da Apuração do ICMS | GO010041: R$ 655,94 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 490,81 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 518,52 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 3.279,67 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 3.031,21 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 3.328,59 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 680,00 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 547,76 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 415,56 (Não Incentivado) 3 script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 392,89 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 1.441,48 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 1.628,89 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 542,36 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 15,90 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 93,33 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 56,30 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 84,15 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 88,59 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 99,26 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 64,00 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 62,22 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 44,44 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 47,41 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 117,78 (Não Incentivado) script.js:1475:21
[9:38:10 PM]   C197 - Outras Obrigações Tributárias, Ajustes e Informações de Valores Provenientes de Documento Fiscal | GO40000029: R$ 315,56 (Não Incentivado) script.js:1475:21
